,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
NTRK1,-0.13605897,-0.07018225,0.22032946,0.06229624,-0.31899542,-0.36439604,0.12376754,0.25362992,0.28280485,-0.173085,-0.07180472,-0.25657904,0.24663353,0.23973837,-0.24325061,0.41174275,0.20809758,0.024797607,0.2231667,0.32160378,-0.07909316,-0.04280466,0.311272,0.34697935,0.1783422,-0.2994288,0.30192128,-0.2272867,-0.16137034,0.15579663,-0.25463942,-0.37372535,0.21139851,0.25774583,-0.39073825,-0.05755287,-0.207392,0.3496189,-0.08200523,0.40707707,-0.3697273,0.25741747,0.3263014,0.20815942,0.1994325,0.29264635,-0.31727865,0.29112604,0.064850345,-0.20752223,-0.27164143,-0.3184067,0.13139467,-0.0494861,-0.27237964,0.09184757,-0.17305559,0.15982014,-0.17591062,0.32010502,-0.005626578,0.05311002,0.24707928,-0.293011
PTPRD,-0.1506865,-0.0829213,0.23312141,0.06738842,-0.32302222,-0.38810706,0.1271534,0.27165145,0.30562982,-0.18233591,-0.083883494,-0.2805385,0.253614,0.25814143,-0.25367305,0.4269047,0.22256371,0.01479469,0.2349125,0.3294911,-0.090372875,-0.011807531,0.3294037,0.35097748,0.18477544,-0.31421953,0.30825257,-0.24738358,-0.17246327,0.16481385,-0.26545575,-0.37645513,0.21106279,0.27580142,-0.4061935,-0.06397461,-0.2137285,0.3763801,-0.092704564,0.4209158,-0.38118798,0.27048233,0.3580262,0.21246037,0.20729864,0.3144588,-0.32398662,0.304197,0.07484188,-0.21389335,-0.28305474,-0.3296182,0.13965224,-0.05222763,-0.28188974,0.08785446,-0.18966828,0.1621968,-0.19418296,0.3277002,-0.00012211129,0.06095746,0.259231,-0.31731343
FLT1,-0.13367897,-0.0716457,0.21489692,0.06213671,-0.3095104,-0.3531664,0.12608209,0.25004336,0.27547532,-0.16660321,-0.06751016,-0.24647835,0.24229556,0.23602958,-0.2399958,0.40021032,0.20583391,0.035586126,0.22021806,0.31380874,-0.07294221,-0.05364795,0.30433837,0.33820117,0.17697217,-0.2899429,0.29218057,-0.22320932,-0.15734947,0.15343675,-0.2530329,-0.36534736,0.20420398,0.2546615,-0.379736,-0.056009345,-0.2033622,0.34177187,-0.08344434,0.39562428,-0.3584799,0.25039682,0.31487507,0.20089862,0.19847928,0.28564546,-0.3079588,0.2837396,0.062930584,-0.2017168,-0.26344404,-0.31253982,0.12892395,-0.054495618,-0.2666425,0.08951375,-0.17049353,0.16061807,-0.17467457,0.31002873,-0.017452074,0.054647952,0.24289444,-0.28559136
NOTCH3,-0.14023787,-0.07577168,0.22813608,0.06490423,-0.322816,-0.3706357,0.13055032,0.2567001,0.28923088,-0.17828918,-0.07159937,-0.26382166,0.2520785,0.24548319,-0.24796182,0.41819972,0.21145314,0.05512127,0.22520417,0.3277776,-0.083366275,-0.064759076,0.3162558,0.35582072,0.17920908,-0.30805674,0.30698615,-0.23159146,-0.16517127,0.15858811,-0.25990018,-0.38052315,0.21587992,0.26530775,-0.3967441,-0.060234312,-0.21170154,0.3604335,-0.08689279,0.41103774,-0.37776572,0.2641278,0.33815086,0.21349749,0.20156668,0.29963,-0.32287145,0.29779422,0.067718714,-0.21379143,-0.2777676,-0.32288572,0.1397405,-0.050097547,-0.28144756,0.09287451,-0.17986514,0.16382301,-0.17703559,0.32362825,-0.015902678,0.053802095,0.2525,-0.29986167
NOTCH2,-0.13733406,-0.074984536,0.21920747,0.06466713,-0.31366014,-0.36006016,0.12794629,0.253107,0.2825047,-0.1707671,-0.06825261,-0.2541852,0.2459846,0.24001089,-0.24350898,0.40792632,0.2084772,0.062362112,0.2209281,0.318949,-0.0778435,-0.07318278,0.30879074,0.34501112,0.17845258,-0.29674178,0.29816192,-0.2268283,-0.16001938,0.15688032,-0.2553529,-0.37205082,0.21141507,0.25919986,-0.3860853,-0.05693366,-0.2073477,0.34977236,-0.08471416,0.40087172,-0.3656327,0.25544262,0.3242255,0.20573471,0.19935255,0.29140478,-0.31423834,0.29044834,0.06559925,-0.2065549,-0.26902986,-0.31577453,0.13256718,-0.053146403,-0.27131888,0.09166019,-0.17448287,0.16225928,-0.17763592,0.31607985,-0.02887125,0.055795506,0.24533555,-0.2920523
CDKN2A,-0.13555762,-0.07064594,0.2168755,0.0626785,-0.3118016,-0.35860506,0.122205876,0.25033948,0.2796414,-0.1705434,-0.06951686,-0.25504866,0.24309808,0.23613983,-0.23783268,0.40737772,0.20324057,0.024978977,0.21764603,0.31837818,-0.08320589,-0.052077904,0.30693233,0.34407926,0.17372128,-0.29341102,0.2972088,-0.2245055,-0.15831879,0.15402472,-0.2526301,-0.36969316,0.20825782,0.25622964,-0.38503152,-0.057481416,-0.20474666,0.34731248,-0.08213797,0.4004215,-0.36264756,0.25367182,0.32194537,0.20536016,0.19756591,0.28862202,-0.31140417,0.28691563,0.06706975,-0.20559832,-0.26682156,-0.3132668,0.13368553,-0.045447852,-0.27053425,0.088339716,-0.1721206,0.15716296,-0.1710006,0.3123595,0.00030946592,0.051493417,0.24250752,-0.28933805
BCOR,-0.13841417,-0.06630843,0.2305491,0.056420654,-0.32811046,-0.3786797,0.13202523,0.2657857,0.29549876,-0.17873809,-0.097604774,-0.260705,0.2582294,0.24822223,-0.25158417,0.41345918,0.21596546,-0.14374167,0.24514486,0.3284376,-0.06763986,0.14063886,0.3298309,0.35831904,0.19232154,-0.30724075,0.31107754,-0.24331379,-0.16811836,0.15615414,-0.27513796,-0.38215965,0.21162564,0.26306266,-0.39937282,-0.068802565,-0.21015823,0.3624977,-0.09410003,0.42010397,-0.38187346,0.26973045,0.33916485,0.21471141,0.21014518,0.2955621,-0.32613072,0.29871252,0.065524995,-0.21586487,-0.2805845,-0.3328414,0.1449604,-0.06391775,-0.28438616,0.08904265,-0.17988928,0.16984072,-0.18183485,0.32484713,0.091497906,0.05568829,0.26687902,-0.30096543
KMT2D,-0.15366355,-0.08447324,0.23819897,0.06863578,-0.32787395,-0.3961993,0.12693527,0.2733479,0.3107715,-0.18657826,-0.08610795,-0.28697973,0.25679415,0.26124448,-0.25603342,0.43381262,0.22386026,0.010627644,0.23612744,0.3349194,-0.09648252,-0.010986408,0.33507732,0.3585061,0.18490665,-0.3212154,0.31413585,-0.25155488,-0.17490804,0.16669191,-0.26828334,-0.38224372,0.21582979,0.27989697,-0.41251713,-0.06590523,-0.21697238,0.384058,-0.09354523,0.42620438,-0.38778657,0.27558014,0.36682463,0.21716227,0.20783117,0.32003814,-0.32892835,0.30879855,0.07661699,-0.2191853,-0.28816825,-0.33396316,0.14457847,-0.048205983,-0.2879583,0.08854121,-0.19331321,0.16298588,-0.19393209,0.33108103,0.009025082,0.060134925,0.2621302,-0.32284373
MSH2,-0.14399341,-0.078286014,0.22336338,0.06599734,-0.31862772,-0.37294856,0.12865289,0.25676793,0.289917,-0.17532118,-0.071714215,-0.2625988,0.252658,0.24664965,-0.2490357,0.42081904,0.21208662,0.060587768,0.22720802,0.32450905,-0.08307807,-0.062698565,0.31387514,0.35210353,0.18099739,-0.30667055,0.3057406,-0.23134172,-0.16554426,0.15939072,-0.2574015,-0.37501717,0.21431954,0.26459593,-0.3952536,-0.057867516,-0.21269533,0.3603,-0.09055547,0.40933084,-0.3776071,0.26038262,0.33833528,0.20992704,0.201096,0.30049503,-0.31692562,0.2961613,0.07090319,-0.21036386,-0.27465087,-0.3215881,0.13818194,-0.05481736,-0.2767131,0.09296179,-0.18026383,0.16188003,-0.18009719,0.32051733,-0.019894313,0.05685088,0.25433582,-0.30025333
PMS1,-0.13450734,-0.06942249,0.21472865,0.061555304,-0.31340477,-0.35843402,0.12224707,0.25046572,0.277906,-0.1702641,-0.06772447,-0.2524783,0.24291939,0.23584086,-0.23914663,0.40635046,0.2041738,0.041357297,0.21758813,0.3183549,-0.08065283,-0.06526868,0.30529085,0.3422234,0.17197792,-0.29435578,0.29754537,-0.22382438,-0.15784204,0.15491226,-0.24967113,-0.36946917,0.20853712,0.25593162,-0.38581175,-0.05551847,-0.20371778,0.34458578,-0.08042015,0.4002953,-0.36308932,0.25209883,0.32035047,0.20436555,0.19665161,0.28859252,-0.31309703,0.28653535,0.06609904,-0.2047056,-0.26692748,-0.3129495,0.12888637,-0.046479404,-0.2687106,0.09153388,-0.17076692,0.15724052,-0.17345865,0.31538787,-0.015311992,0.05394426,0.24144049,-0.28785905
