,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
RN7SL480P_cnv,0.00071800686,0.00037673977,-0.007085003,0.0027623381,0.0042682933,-0.00509813,-0.012492232,0.013397168
ANP32E_cnv,0.00071019586,0.00040451996,-0.007104976,0.0027425261,0.004301888,-0.005127619,-0.012584772,0.013452737
CA14_cnv,0.0007047951,0.0004237669,-0.0071188193,0.0027287966,0.004325183,-0.0051480434,-0.012648879,0.01349123
APH1A_cnv,0.00070236716,0.00043235812,-0.007125007,0.0027226731,0.0043356223,-0.005157173,-0.012677537,0.0135084335
MRPS21_cnv,0.00069960114,0.000442239,-0.007132102,0.0027156249,0.004347544,-0.0051676515,-0.012710415,0.01352818
PRPF3_cnv,0.00069960114,0.000442239,-0.007132102,0.0027156249,0.004347544,-0.0051676515,-0.012710415,0.01352818
RPRD2_cnv,0.0006595077,0.0005861777,-0.0072347503,0.002612915,0.0045192176,-0.0053201267,-0.0131880045,0.013815306
TARS2_cnv,0.0006590057,0.0005879719,-0.0072360225,0.0026116362,0.004521339,-0.0053220345,-0.013193946,0.0138188815
ECM1_cnv,0.00065866485,0.00058925967,-0.007236926,0.002610715,0.004522844,-0.005323385,-0.013198191,0.013821442
ADAMTSL4_cnv,0.000655151,0.00060188444,-0.0072458796,0.002601704,0.004537762,-0.005336751,-0.013239985,0.013846579
RN7SL473P_cnv,0.000655151,0.00060188654,-0.0072458778,0.0026017064,0.004537766,-0.0053367503,-0.0132399835,0.013846579
RN7SL600P_cnv,0.0006540073,0.0006060032,-0.0072487947,0.002598768,0.0045426283,-0.005341105,-0.013253609,0.013854774
MCL1_cnv,0.0006529242,0.00060990755,-0.007251572,0.0025959779,0.0045472374,-0.005345244,-0.013266545,0.013862557
ENSA_cnv,0.0006505996,0.0006182785,-0.007257508,0.0025899997,0.004557141,-0.0053541134,-0.01329427,0.013879243
GOLPH3L_cnv,0.00064727105,0.00063029444,-0.0072660316,0.0025814176,0.004571327,-0.0053668413,-0.013334049,0.013903184
HORMAD1_cnv,0.00064660795,0.00063267606,-0.007267721,0.002579717,0.0045741415,-0.005369366,-0.013341924,0.013907926
CTSS_cnv,0.00065157376,0.0006147821,-0.0072550178,0.0025924952,0.004552982,-0.005350419,-0.013282664,0.013872277
CTSK_cnv,0.0006467784,0.00063205836,-0.007267287,0.0025801584,0.0045734243,-0.0053687114,-0.013339881,0.0139067015
ARNT_cnv,0.00064678025,0.00063205836,-0.007267287,0.0025801584,0.0045734243,-0.0053687124,-0.013339881,0.013906701
SETDB1_cnv,0.0006687008,0.00055312295,-0.007211212,0.0026365137,0.0044799587,-0.0052851317,-0.013078403,0.013749399
CERS2_cnv,0.0006687008,0.0005531232,-0.007211212,0.0026365141,0.0044799596,-0.0052851317,-0.013078403,0.013749399
ANXA9_cnv,0.00067630876,0.00052578794,-0.007191751,0.0026560314,0.004447452,-0.005256167,-0.012987755,0.0136948805
BNIPL_cnv,0.0006826194,0.0005030944,-0.0071755685,0.0026722183,0.0044203764,-0.005232135,-0.012912488,0.013649633
CDC42SE1_cnv,0.0006891098,0.0004798011,-0.0071589574,0.00268884,0.004392571,-0.0052074497,-0.012835186,0.013603154
MLLT11_cnv,0.00069170166,0.00047050347,-0.0071523264,0.0026954697,0.0043814545,-0.0051975963,-0.012804326,0.0135846045
GABPB2_cnv,0.0006917026,0.0004705037,-0.0071523245,0.0026954697,0.0043814545,-0.005197596,-0.012804326,0.0135846045
SEMA6C_cnv,0.0006920239,0.0004693421,-0.007151479,0.0026962883,0.004380081,-0.0051963767,-0.012800463,0.013582291
LYSMD1_cnv,0.0006932188,0.0004650592,-0.0071484186,0.0026993486,0.0043749623,-0.0051918332,-0.012786251,0.013573751
SCNM1_cnv,0.0006932188,0.0004650592,-0.0071484186,0.0026993486,0.0043749623,-0.0051918332,-0.012786251,0.013573751
TNFAIP8L2_cnv,0.0006932188,0.0004650592,-0.0071484186,0.0026993486,0.0043749623,-0.0051918332,-0.012786251,0.013573751
TMOD4_cnv,0.0006933389,0.00046462752,-0.0071481112,0.0026996527,0.00437444,-0.005191377,-0.012784814,0.01357289
VPS72_cnv,0.00069272704,0.00046685827,-0.007149698,0.002698063,0.004377122,-0.0051937345,-0.012792211,0.013577338
PIP5K1A_cnv,0.00069301575,0.00046580983,-0.0071489494,0.0026988145,0.004375859,-0.0051926253,-0.0127887335,0.013575247
PSMD4_cnv,0.00070105493,0.00043702917,-0.0071283616,0.0027193492,0.004341224,-0.0051620975,-0.012693038,0.013517736
ZNF687_cnv,0.00070690736,0.00041608978,-0.007113369,0.002734282,0.004316044,-0.005139887,-0.0126233995,0.013475889
PI4KB_cnv,0.00070690736,0.00041608978,-0.007113369,0.002734282,0.004316044,-0.005139887,-0.0126233995,0.013475889
RN7SL444P_cnv,0.00070891064,0.00040887482,-0.0071081985,0.0027394271,0.0043073716,-0.005132253,-0.0125994515,0.01346151
RFX5_cnv,0.00070810784,0.00041176868,-0.0071102697,0.002737373,0.00431085,-0.005135314,-0.012609048,0.013467271
POGZ_cnv,0.00071107596,0.00040111435,-0.0071026366,0.0027449601,0.0042980304,-0.0051240316,-0.012573663,0.013446027
PSMB4_cnv,0.00071107596,0.00040111435,-0.0071026366,0.0027449601,0.0042980304,-0.0051240316,-0.012573665,0.013446027
SELENBP1_cnv,0.00071074814,0.00040230108,-0.0071034823,0.0027441145,0.0042994535,-0.005125286,-0.012577593,0.013448382
RNY4P25_cnv,0.0007107463,0.00040230108,-0.007103484,0.002744115,0.0042994544,-0.0051252856,-0.012577595,0.013448382
CGN_cnv,0.00069601554,0.00045488053,-0.0071411543,0.0027066073,0.0043627517,-0.0051810658,-0.012752507,0.013553467
SNORA44_cnv,0.00069601554,0.00045488053,-0.0071411543,0.0027066073,0.0043627517,-0.0051810658,-0.012752507,0.013553467
TUFT1_cnv,0.0006963676,0.00045369146,-0.0071402974,0.0027074567,0.0043613333,-0.005179794,-0.012748539,0.013551069
SNX27_cnv,0.00069649983,0.00045321998,-0.007139964,0.0027077957,0.0043607606,-0.0051792907,-0.012746962,0.013550125
CELF3_cnv,0.00069601554,0.00045488053,-0.0071411524,0.0027066073,0.0043627517,-0.0051810658,-0.012752507,0.013553467
RIIAD1_cnv,0.00069711637,0.00045106793,-0.00713842,0.0027093296,0.0043581864,-0.0051770103,-0.012739828,0.013545833
MRPL9_cnv,0.00069742,0.00044997688,-0.0071376376,0.0027101072,0.0043568714,-0.0051758527,-0.012736192,0.013543643
OAZ3_cnv,0.00069750287,0.00044969423,-0.0071374346,0.0027103093,0.0043565296,-0.005175546,-0.012735233,0.013543064
TDRKH_cnv,0.0006978661,0.00044840225,-0.0071365107,0.002711228,0.004354977,-0.0051741796,-0.012730936,0.013540485
LINGO4_cnv,0.00069914106,0.00044385018,-0.0071332604,0.002714478,0.0043495046,-0.0051693413,-0.012715785,0.013531385
RORC_cnv,0.000699874,0.00044123293,-0.007131383,0.0027163438,0.0043463428,-0.005166563,-0.012707064,0.013526155
C2CD4D_cnv,0.0007002475,0.000439893,-0.007130418,0.0027172975,0.004344737,-0.005165144,-0.012702618,0.013523484
THEM5_cnv,0.0007002475,0.000439893,-0.007130418,0.0027172975,0.004344737,-0.005165144,-0.012702618,0.013523484
THEM4_cnv,0.0007002475,0.000439893,-0.007130418,0.002717298,0.004344737,-0.005165144,-0.012702618,0.013523484
S100A10_cnv,0.0007004086,0.00043928227,-0.007129982,0.0027177292,0.0043439884,-0.005164508,-0.012700563,0.01352226
NBPF18P_cnv,0.00070118345,0.00043650414,-0.007127989,0.0027197087,0.0043406626,-0.005161565,-0.012691325,0.013516707
S100A11_cnv,0.000700918,0.0004374655,-0.0071286745,0.002719026,0.0043418175,-0.005162579,-0.012694506,0.013518617
TCHHL1_cnv,0.00069915224,0.00044379872,-0.00713321,0.002714511,0.0043494347,-0.005169281,-0.012715565,0.013531276
TCHH_cnv,0.0007006433,0.00043845223,-0.007129384,0.0027183234,0.004343002,-0.0051636207,-0.012697779,0.0135205835
RPTN_cnv,0.0007001003,0.00044039148,-0.00713077,0.0027169436,0.004345334,-0.0051656775,-0.012704229,0.013524463
